zip,population,city,county
33311,75705,Fort Lauderdale,Broward
33024,75701,Hollywood,Broward
33023,74913,Hollywood,Broward
34787,74842,Winter Garden,Orange
33012,74603,Hialeah,Miami-Dade
33411,74554,West Palm Beach,Palm Beach
33647,74066,Tampa,Hillsborough
33025,73180,Hollywood,Broward
34953,72636,Port St. Lucie,St. Lucie
32828,69913,Orlando,Orange
33186,69459,Miami,Miami-Dade
33015,67952,Hialeah,Miami-Dade
33157,67268,Miami,Miami-Dade
33027,66467,Hollywood,Broward
32218,65878,Jacksonville,Duval
33463,64116,Lake Worth,Palm Beach
32822,64013,Orlando,Orange
32765,63800,Oviedo,Seminole
33313,62945,Fort Lauderdale,Broward
32210,62457,Jacksonville,Duval
32244,61190,Jacksonville,Duval
34711,61189,Clermont,Lake
32818,61027,Orlando,Orange
34744,60555,Kissimmee,Osceola
33414,60452,West Palm Beach,Palm Beach
32808,60450,Orlando,Orange
33125,60347,Miami,Miami-Dade
32825,60254,Orlando,Orange
33064,59942,Pompano Beach,Broward
33511,59776,Brandon,Hillsborough
33142,59773,Miami,Miami-Dade
33458,59098,Jupiter,Palm Beach
33033,58869,Homestead,Miami-Dade
33065,58637,Pompano Beach,Broward
32259,57223,Jacksonville,St. Johns
32771,57030,Sanford,Seminole
33177,56862,Miami,Miami-Dade
33161,56446,Miami,Miami-Dade
32068,56217,Middleburg,Clay
33196,55829,Miami,Miami-Dade
32162,55828,Lady Lake,Sumter
32246,55325,Jacksonville,Duval
33467,55279,Lake Worth,Palm Beach
32703,55239,Apopka,Orange
33312,55149,Fort Lauderdale,Broward
33063,54916,Pompano Beach,Broward
33165,54497,Miami,Miami-Dade
33176,53934,Miami,Miami-Dade
33018,53575,Hialeah,Miami-Dade
32225,53414,Jacksonville,Duval
32839,53012,Orlando,Orange
33175,52885,Miami,Miami-Dade
33178,52885,Miami,Miami-Dade
33068,52691,Pompano Beach,Broward
32792,52670,Winter Park,Orange
32174,52115,Ormond Beach,Volusia
33032,52073,Homestead,Miami-Dade
32824,51946,Orlando,Orange
33415,51932,West Palm Beach,Palm Beach
33810,51595,Lakeland,Polk
33612,51347,Tampa,Hillsborough
33126,50886,Miami,Miami-Dade
34221,50857,Palmetto,Manatee
32837,50780,Orlando,Orange
32608,50431,Gainesville,Alachua
32304,50298,Tallahassee,Leon
33016,50269,Hialeah,Miami-Dade
33021,49859,Hollywood,Broward
32725,49802,Deltona,Volusia
33614,49652,Tampa,Hillsborough
32164,49642,Palm Coast,Flagler
34135,49455,Bonita Springs,Lee
33324,49350,Fort Lauderdale,Broward
33319,49218,Fort Lauderdale,Broward
33193,49083,Miami,Miami-Dade
32303,49073,Tallahassee,Leon
33615,49048,Tampa,Hillsborough
32712,48987,Apopka,Orange
34741,48520,Kissimmee,Osceola
33610,48490,Tampa,Hillsborough
33617,48456,Tampa,Hillsborough
34668,48452,Port Richey,Pasco
33321,48061,Fort Lauderdale,Broward
32256,47883,Jacksonville,Duval
32835,47867,Orlando,Orange
33162,47855,Miami,Miami-Dade
32907,46911,Palm Bay,Brevard
32746,46816,Lake Mary,Seminole
33436,46812,Boynton Beach,Palm Beach
33147,46765,Miami,Miami-Dade
32738,46727,Deltona,Volusia
34746,46725,Kissimmee,Osceola
33179,46620,Miami,Miami-Dade
33461,46574,Lake Worth,Palm Beach
32708,46542,Winter Springs,Seminole
34786,46044,Windermere,Orange
34761,45749,Ocoee,Orange
34743,45456,Kissimmee,Osceola
33010,45454,Hialeah,Miami-Dade
34997,45382,Stuart,Martin
33029,45142,Hollywood,Broward
33155,44659,Miami,Miami-Dade
33020,44655,Hollywood,Broward
32137,44396,Palm Coast,Flagler
34655,44192,New Port Richey,Pasco
34758,44155,Kissimmee,Osceola
34983,44005,Port St. Lucie,St. Lucie
34293,43988,Venice,Sarasota
33428,43566,Boca Raton,Palm Beach
34208,43397,Bradenton,Manatee
34609,43374,Spring Hill,Hernando
32514,43323,Pensacola,Escambia
34952,43317,Port St. Lucie,St. Lucie
32940,43046,Melbourne,Brevard
32935,42463,Melbourne,Brevard
33880,42268,Winter Haven,Polk
33172,42232,Miami,Miami-Dade
33014,42153,Hialeah,Miami-Dade
32073,42153,Orange Park,Clay
33009,42070,Hallandale,Broward
33076,41884,Pompano Beach,Broward
33418,41737,West Palm Beach,Palm Beach
32566,41165,Navarre,Santa Rosa
32224,41017,Jacksonville,Duval
33322,40832,Fort Lauderdale,Broward
33433,40655,Boca Raton,Palm Beach
33914,40422,Cape Coral,Lee
33604,40309,Tampa,Hillsborough
32404,40300,Panama City,Bay
33619,40257,Tampa,Hillsborough
33169,40221,Miami,Miami-Dade
33844,40078,Haines City,Polk
32258,39963,Jacksonville,Duval
33309,39928,Fort Lauderdale,Broward
32811,39905,Orlando,Orange
32092,39858,Saint Augustine,St. Johns
32955,39846,Rockledge,Brevard
33624,39750,Tampa,Hillsborough
33160,39704,North Miami Beach,Miami-Dade
33071,39433,Pompano Beach,Broward
33134,39420,Miami,Miami-Dade
34203,39350,Bradenton,Manatee
34698,39317,Dunedin,Pinellas
34748,39265,Leesburg,Lake
32257,39154,Jacksonville,Duval
33060,38637,Pompano Beach,Broward
33055,38509,Opa Locka,Miami-Dade
33139,38488,Miami Beach,Miami-Dade
33141,38442,Miami Beach,Miami-Dade
34759,38406,Kissimmee,Polk
33905,38304,Fort Myers,Lee
33317,38256,Fort Lauderdale,Broward
32810,38248,Orlando,Orange
32034,38189,Fernandina Beach,Nassau
33813,38080,Lakeland,Polk
32714,37983,Altamonte Springs,Seminole
32065,37905,Orange Park,Clay
32216,37867,Jacksonville,Duval
32724,37856,Deland,Volusia
32506,37604,Pensacola,Escambia
34785,37555,Wildwood,Sumter
32526,37484,Pensacola,Escambia
33437,37420,Boynton Beach,Palm Beach
32826,37297,Orlando,Orange
34116,37138,Naples,Collier
32707,37106,Casselberry,Seminole
33056,36822,Opa Locka,Miami-Dade
33594,36685,Valrico,Hillsborough
33135,36678,Miami,Miami-Dade
34207,36677,Bradenton,Manatee
33183,36673,Miami,Miami-Dade
32084,36415,Saint Augustine,St. Johns
33435,36406,Boynton Beach,Palm Beach
33613,36388,Tampa,Hillsborough
34608,36327,Spring Hill,Hernando
34653,36166,New Port Richey,Pasco
33174,35938,Miami,Miami-Dade
32209,35919,Jacksonville,Duval
32780,35908,Titusville,Brevard
32571,35905,Milton,Santa Rosa
33908,35798,Fort Myers,Lee
33030,35743,Homestead,Miami-Dade
33823,35712,Auburndale,Polk
33710,35695,Saint Petersburg,Pinellas
32207,35659,Jacksonville,Duval
34232,35486,Sarasota,Sarasota
33133,35445,Miami,Miami-Dade
33410,35410,West Palm Beach,Palm Beach
33073,35407,Pompano Beach,Broward
33990,35396,Cape Coral,Lee
32817,35332,Orlando,Orange
33952,35285,Port Charlotte,Charlotte
32812,35174,Orlando,Orange
32211,35160,Jacksonville,Duval
34209,35148,Bradenton,Manatee
33351,34774,Fort Lauderdale,Broward
33611,34615,Tampa,Hillsborough
34120,34431,Naples,Collier
33801,34406,Lakeland,Polk
33040,34401,Key West,Monroe
32807,34239,Orlando,Orange
32547,34071,Fort Walton Beach,Okaloosa
33462,34068,Lake Worth,Palm Beach
33417,34044,West Palm Beach,Palm Beach
33130,33938,Miami,Miami-Dade
32904,33869,Melbourne,Brevard
32578,33846,Niceville,Okaloosa
32114,33731,Daytona Beach,Volusia
34683,33699,Palm Harbor,Pinellas
32507,33689,Pensacola,Escambia
33881,33577,Winter Haven,Polk
32720,33485,Deland,Volusia
32309,33359,Tallahassee,Leon
33156,33223,Miami,Miami-Dade
32503,33163,Pensacola,Escambia
34142,33029,Immokalee,Collier
33884,33008,Winter Haven,Polk
33702,32968,Saint Petersburg,Pinellas
33026,32882,Hollywood,Broward
33460,32848,Lake Worth,Palm Beach
34231,32762,Sarasota,Sarasota
33054,32735,Opa Locka,Miami-Dade
33409,32607,West Palm Beach,Palm Beach
33326,32586,Fort Lauderdale,Broward
33756,32554,Clearwater,Pinellas
32301,32552,Tallahassee,Leon
33173,32469,Miami,Miami-Dade
32277,32446,Jacksonville,Duval
32312,32380,Tallahassee,Leon
34667,32360,Hudson,Pasco
32570,32341,Milton,Santa Rosa
33837,32185,Davenport,Polk
33909,32183,Cape Coral,Lee
33180,32136,Miami,Miami-Dade
33713,32084,Saint Petersburg,Pinellas
33143,32055,Miami,Miami-Dade
32405,31875,Panama City,Bay
34205,31871,Bradenton,Manatee
34772,31830,St. Cloud,Osceola
32909,31734,Palm Bay,Brevard
34266,31733,Arcadia,De Soto
34243,31700,Sarasota,Manatee
33150,31637,Miami,Miami-Dade
33904,31388,Cape Coral,Lee
34119,31355,Naples,Collier
34472,31271,Ocala,Marion
33407,31124,West Palm Beach,Palm Beach
32773,31090,Sanford,Seminole
33445,31025,Delray Beach,Palm Beach
33325,30985,Fort Lauderdale,Broward
33127,30795,Miami,Miami-Dade
32208,30648,Jacksonville,Duval
33809,30646,Lakeland,Polk
32003,30582,Orange Park,Clay
33013,30524,Hialeah,Miami-Dade
33919,30485,Fort Myers,Lee
32159,30459,Lady Lake,Lake
33145,30450,Miami,Miami-Dade
32086,30392,Saint Augustine,St. Johns
32539,30357,Crestview,Okaloosa
32205,30349,Jacksonville,Duval
33144,30343,Miami,Miami-Dade
33334,30333,Fort Lauderdale,Broward
33401,30315,West Palm Beach,Palm Beach
33917,30270,North Fort Myers,Lee
33830,30242,Bartow,Polk
33185,30165,Miami,Miami-Dade
32607,30139,Gainesville,Alachua
34990,30138,Palm City,Martin
32583,30135,Milton,Santa Rosa
32809,30100,Orlando,Orange
34491,29998,Summerfield,Marion
33803,29875,Lakeland,Polk
33771,29868,Largo,Pinellas
33510,29831,Brandon,Hillsborough
34639,29728,Land O Lakes,Pasco
32327,29688,Crawfordville,Wakulla
32779,29618,Longwood,Seminole
33570,29576,Ruskin,Hillsborough
32832,29359,Orlando,Orange
33404,29357,West Palm Beach,Palm Beach
33328,29355,Fort Lauderdale,Broward
33626,29337,Tampa,Hillsborough
33993,29328,Cape Coral,Lee
33069,29321,Pompano Beach,Broward
32757,29295,Mount Dora,Lake
33138,29163,Miami,Miami-Dade
32127,29082,Daytona Beach,Volusia
32958,29057,Sebastian,Indian River
32533,29024,Cantonment,Escambia
33442,28934,Deerfield Beach,Broward
32221,28809,Jacksonville,Duval
34112,28702,Naples,Collier
33625,28619,Tampa,Hillsborough
33470,28587,Loxahatchee,Palm Beach
33618,28544,Tampa,Hillsborough
32082,28503,Ponte Vedra Beach,St. Johns
32043,28501,Green Cove Springs,Clay
33544,28417,Zephyrhills,Pasco
33860,28372,Mulberry,Polk
34986,28354,Port St. Lucie,St. Lucie
32177,28343,Palatka,Putnam
33569,28342,Riverview,Hillsborough
