Owner,Facility,County,State,Address,City,zip,Latitude,Longitude,type,Status (gypstacks)
Nutrien Ltd.,Aurora ,Beaufort,NC,1530 Hwy. 306 South,Aurora,27806,35.3771,-76.7485,Mine,
"Agrium US, Inc.",Dry Valley,Caribou,ID,2275 Dry Valley Rd.,Soda Springs,83276,42.75037,-111.32559,Mine,
"Agrium US, Inc.",Rasmussen Ridge,Caribou,ID,3826 Blackfoor River Rd.,Soda Springs,83276,42.78863,-111.42807,Mine,
Bayer AG,Blackfoot Bridge,Caribou,ID,,Soda Springs,83276,42.79072,-111.52441,Mine,
Bayer AG,Enoch Valley,Caribou,ID,3268 Blackfoot River Rd.,Soda Springs,83276,42.8868,-111.41547,Mine,
Itafos,Lanes Creek,Caribou,ID,Lanes Creek Rd.,Soda Springs,83276,42.83388889,-111.3172222,Mine,
J.R. Simplot Co.,Smoky Canyon,Caribou,ID,1890 Smokey Canyon Rd.,Afton,83110,,,Mine,
Monsanto Co.,Henry Mine,Caribou,ID,Caribou-Targhee National Forest,Soda Springs,83276,42.49972,-111.18389,Mine,
Monsanto Co.,South Rasmussen,Caribou,ID,Caribou-Targhee National Forest,Soda Springs,83276,42.85,-111.35,Mine,
Nutrien Ltd.,Swift Creek,Hamilton,FL,,Jasper,32052,30.44694,-82.85611,Mine,
Nutrien Ltd.,White Springs Phosphate,Hamilton,FL,15843 SE 78th St.,White Springs,32096,30.40519,-82.80285,Mine,
"PCS Phosphate Co., Inc.",Swift Creek,Hamilton,FL,,Jasper,32052,,,Mine,
"CF Industries, Inc.",South Pasture,Hardee,FL,6209 North CR 663,Bowling Green,33834,,,Mine,
"Mosaic Company, The",South Fort Meade,Hardee,FL,5880 Manley Rd.,Fort Meade,33841,,,Mine,
"Mosaic Company, The",South Pasture,Hardee,FL,2555 Mine View Rd,Bowling Green,33834,,,Mine,
"Mosaic Company, The",Four Corners ,Hillsborough and Manatee,FL,11200 Old Hwy 37,Mulberry,33860,,,Mine,
IMC Phosphates MP Inc.,Hopewell,Hillsborough,FL,,Plant City,33567,27.93333,-82.125,Mine,
"Mosaic Company, The",Wingate,Manatee,FL,,Myakka City,34251,27.4976,-82.11906,Mine,
IMC Phosphates MP Inc.,Fort Green,Polk,FL,,Bowling Green,33834,27.66806,-82.00694,Mine,
"Mosaic Company, The",Hookers Prairie,Polk,FL,,Mulberry,33860,27.78111111,-81.95,Mine,
"Mosaic Company, The",South Fort Meade,Polk,FL,,,,,,Mine,
IMC Phosphates MP Inc.,Kingsford,Polk/Hillsborough,FL,,Mulberry,33860,27.83388889,-81.99805556,Mine,
