ReportingPlant,Licensee,Jul.Sep.2018,Oct.Dec.2018,Jan.Mar.2019,Apr.Jun.2019,2018
"AARON INDUSTRIES, INC.",F001675,561,567,657,763,"2,548.00"
Acadian Seaplants Limited,F000148,,,1,,1
"ACCESS BUSINESS GROUP INTERNATIONAL, LLC",F001380,0.41,0.74,0.88,0.7,2.73
"ACTAGRO, LLC",F001848,2,118.57,,,120.57
ADVANCED MARINE TECHNOLOGIES,F001923,,,,1.19,1.19
ADVANCED NUTRIENTS,F001801,11,10,10,12,43
"Advancing Eco Agriculture, LLC",F002315,0.07,3.01,4.03,4.27,11.38
"AeroGrow International, Inc.",F002041,1,,1,0.25,2.25
Ag Nutrients,F002173,60,,27,13,100
Age Old Organics,F002298,3,1,,,4
"AGLIME SALES, INC.",F000616,374.34,421.46,380.61,823.03,"1,999.44"
AgMax LLC,F002444,27,16,21,35,99
"AGRI-AFC, LLC",F000192,24,3,1,7,35
,F001754,195,170,293,342,"1,000.00"
,F002383,15.8,9,,50.97,75.77
"AGRI-AFC, LLC ATMORE AGRONOMY",F001880,342.89,,115.9,413.37,872.16
"AGRI-BUSINESS TECHNOLOGIES, INC.",F001285,1.05,5.85,1.26,1.25,9.41
"Agricultural Solutions, LLC",F001921,0.03,107,1.18,136.45,244.66
"AGRI-GRO MARKETING, INC.",F000682,1,3.42,3,4,11.42
"AGRINOS, INC",F001833,0.48,,,,0.48
AgriumUS Inc-A Subsidiary of Nutrien Ltd,F002553,70.39,"1,243.68",694.59,44.56,"2,053.22"
"Agro-Iron, Inc.",F002286,200.94,,,,200.94
"AgroLiquid Div. Of COG Marketers, Ltd.",F002354,24,20,23,106,173
AGROPLANTAE,F001898,,,2,3,5
"Agroplasma, Inc.",F002314,1,,,,1
"ALBION LABORATORIES, INC.",F000062,,0.17,0.61,2.89,3.67
"ALLIED IMPORTS AND LOGISTICS, INC.",F002183,,,2,1,3
ALTHA AGRONOMY AGRI-AFC,F001927,"2,325.35",243.26,898.93,"3,624.99","7,092.53"
"Amega Sciences, Inc.",F002105,,,,39.56,39.56
Amerigrow Soils,F002396,,,,1,1
AMP,F002275,21.5,,,,21.5
"ANDALUSIA FARMERS COOPERATIVE, INC.",F001911,65.5,52.07,71.77,345.68,535.02
"Antler Technologies, LLC",F002247,9,6,3,11,29
Anuvia Florida LLC,F002281,404,"1,238.00",565,428,"2,635.00"
"Aptus USA, LLC",F002007,0.37,2,0.72,0.12,3.21
Aquafertilizer,F002601,10,10,,,20
"AQUASCAPE DESIGNS, INC.",F001565,,0.01,,,0.01
AQUA-YIELD OPERATIONS LLC,F002498,16.4,12.85,9,6,44.25
"ARBORJET, INC.",F001813,0.29,,1.18,,1.47
"ARYSTA LIFESCIENCE NORTH AMERICA, LLC",F001721,3,6,10,,19
"Atami America, Inc.",F001500,0.6,2.28,0.37,,3.25
"ATMORE TRUCKERS ASSOCIATION, INC.",F000239,27,44,50,72,193
"AZOMITE Mineral Products, Inc.",F002359,23,,25.2,23,71.2
"BAICOR, L.C.",F002633,,2.42,,4.43,6.85
"Bainbridge Terminal Services, LLC",F002448,25.4,27.05,,,52.45
"BALL DPF, LLC",F002358,1,28.02,6.58,1.37,36.97
BARBER FERTILIZER CO.,F001068,411.52,39.57,579.7,863.86,"1,894.65"
Barenbrug USA Inc,F002053,3,1,2,2.5,8.5
BASF Corporation,F002177,8.64,,9.3,1,18.94
BAY CHEMICAL CO.,F001629,,,1,,1
BAYER ADVANCED/B.U. BAYER CROPSCIENCE LP,F001514,0.57,,,,0.57
BEATY FERTILIZER COMPANY  INC.,F001182,,,15,22,37
Bee Vectoring Technology Inc.,F002385,,,0.06,,0.06
