Licensee,ReportingPlant,Jul.Sep.2019,Oct.Dec .2019,Jan.Mar.2020,Apr.Jun.2020,2019
F001675,"AARON INDUSTRIES, INC.",322,315,498,532,"1,667.00"
F000148,Acadian Seaplants Limited,11.11,0,4.23,1.06,16.4
F001380,"ACCESS BUSINESS GROUP INTERNATIONAL, LLC",0.45,1.22,1.04,0.49,3.2
F001848,"ACTAGRO, LLC",14.73,0,97,9.79,121.52
F001923,ADVANCED MARINE TECHNOLOGIES,0,0,24,5,29
F001801,ADVANCED NUTRIENTS,18,15,11,17,61
F002315,"Advancing Eco Agriculture, LLC",2.25,7.76,12.77,8.47,31.25
F002041,"AeroGrow International, Inc.",1,1,0,0,2
F002837,Ag Concepts Corp,0,0.3,0,0,0.3
F001613,AG CONCEPTS CORP.,0,0.3,0,0,0.3
F002173,Ag Nutrients,7,3,4,3,17
F002298,Age Old Organics,1,0,0,1,2
F000616,"AGLIME SALES, INC.",87.73,367.61,605.17,0,"1,060.51"
F002444,AgMax LLC,20,22.5,44,29,115.5
F002750,"AgNubio, Inc.",1,0.82,5.46,0.56,7.84
F001754,"AGRI-AFC, LLC",193,631.43,"1,159.66","4,027.16","6,011.25"
F002383,"Agri-AFC, LLC",11.39,58.49,95.63,274.31,439.82
F002851,"Agri-AFC, LLC",0,11.66,81.51,60.46,153.63
F002849,"Agri-AFC, LLC",0,49,11.21,211.06,271.27
F002850,"Agri-AFC, LLC",0,107.22,0,55.91,163.13
F001880,"AGRI-AFC, LLC ATMORE AGRONOMY",106.67,4.54,68.36,362.64,542.21
F001285,"AGRI-BUSINESS TECHNOLOGIES, INC.",4,1,0,1.1,6.1
F001921,"Agricultural Solutions, LLC",71.18,166.08,23.79,1.39,262.44
F000682,"AGRI-GRO MARKETING, INC.",0,1,7,3,11
F002856,"Agri-Nutrients, Inc.",0,16,0,0,16
F002698,Agritec International,4.62,4.51,15.73,59.23,84.09
F002553,AgriumUS Inc-A Subsidiary of Nutrien Ltd,145.17,"1,366.52",485.05,243.08,"2,239.82"
F002354,"AgroLiquid Div. Of COG Marketers, Ltd.",2,61,21,73,157
F002314,"Agroplasma, Inc.",2,0,4,0,6
F002114,Akzo Nobel Functional Chemicals LLC,0,0,0,1.1,1.1
F000062,"ALBION LABORATORIES, INC.",0.87,0.56,0.42,4.95,6.8
F002183,"ALLIED IMPORTS AND LOGISTICS, INC.",3,0,2.6,1,6.6
F001927,ALTHA AGRONOMY AGRI-AFC,"2,320.67",751.99,852.14,"6,452.30","10,377.10"
F002396,Amerigrow Soils,0,1,1,2,4
F002275,AMP,5.25,0,8.4,0,13.65
F001911,"ANDALUSIA FARMERS COOPERATIVE, INC.",93.98,7.36,97.36,371.42,570.12
F002247,"Antler Technologies, LLC",1,5,10,17,33
F002281,Anuvia Florida LLC,254,253,648,535,"1,690.00"
F002007,"Aptus USA, LLC",1,2,2,1,6
F001435,"AQUA-AID, INC. DBA AQUA-AID SOLUTIONS",0,8,0,0,8
F002833,Aquatrols,0,0.33,0.55,0.45,1.33
F002498,AQUA-YIELD OPERATIONS LLC,13,8,9,7,37
F001813,"ARBORJET, INC.",0,0,0,1,1
F001721,"ARYSTA LIFESCIENCE NORTH AMERICA, LLC",4.77,0,8.5,8.77,22.04
F000239,"ATMORE TRUCKERS ASSOCIATION, INC.",11,88,58,131,288
F002359,"AZOMITE Mineral Products, Inc.",4,23.38,0,22.83,50.21
F002917,"Azotic North America, Ltd.",0,0,0,1,1
F002633,"BAICOR, L.C.",0,3.6,2.12,6.89,12.61
F002358,"BALL DPF, LLC",7.76,7.34,19.08,16.11,50.29
F002148,"BAM Agricultural Solutions, Inc.",0,0,0,0.03,0.03
F001068,BARBER FERTILIZER CO.,531.85,172.77,"1,317.00","2,217.00","4,238.62"
F002053,Barenbrug USA Inc,2.5,1.25,1.9,4.8,10.45
F002177,BASF Corporation,8.81,0,13.49,8.66,30.96
F002810,BCR Environmental,414.5,459.79,602.88,0,"1,477.17"
F002662,Beanstalk Agriculture,0,3,0.69,0,3.69
F001182,BEATY FERTILIZER COMPANY  INC.,100,91,193,69,453
F002201,Bertels B.V,1.5,0.85,2.29,4.03,8.67
F000696,"BIG BEND AGRI-SERVICES, INC.",94.08,351.04,358.81,353.25,"1,157.18"
F002042,"Bio Basics, LLC",0,24,0,0,24
F002264,"Biofeed Solutions, Inc.",1.78,0.89,1.9,0.31,4.88
F002749,"Bio-Gro, Inc.",2.21,1.15,31.01,0,34.37
F002182,"BioPro Technologies, LLC",1,1,1,1,4
F001962,"BioWorks, Inc.",0.68,2,1,1,4.68
F000117,BLACK GOLD COMPOST CO.,"1,169.07","1,905.78","3,407.99","5,252.29","11,735.13"
F001790,"BLACK GOLD ENVIRO-SAFE, INC.",8.9,12.5,5.77,22,49.17
F002185,Bloom Brothers Garden Supply Inc.,5.77,4.87,0.95,10.93,22.52
F001290,"BONIDE PRODUCTS, INC",0.49,0.56,0.97,1.2,3.22
F002835,Borates Plus,0,0,393,349,742
F001810,BORATES PLUS INC,64,600,0,0,664
F001330,BOTANICARE,11.71,20.36,34.26,25.55,91.88
F001557,BOUGAINVILLEA GROWERS INTERNATIONAL,104.39,111.96,154.34,191.32,562.01
F001973,Bradex Inc.,163.78,569.2,"1,015.48",161.35,"1,909.81"
F000076,"BRANDT CONSOLIDATED, INC.",28.85,29.8,103.39,51.86,213.9
F002222,BRANDT iHammer,0,2,0,0,2
F002711,BrettYoung,0,0,0,21,21
F001371,BREWER INTERNATIONAL,11,4,17,5,37
F001806,BRIDGEWELL AGRIBUSINESS LLC,221,110,44,240,615
F001579,"BULLOCH FERTILIZER CO., INC.",198.52,65.98,266.58,302.89,833.97
F001776,C.R. BROWN ENTERPRISES,125,22,22,66,235
F001279,C.S.I. CHEMICAL CORPORATION,1.23,4.46,1.36,2.78,9.83
F001993,"Calcium Products, Inc.",0,25,3,28,56
F001131,"CALCIUM SILICATE CORPORATION, INC.",1,0,0,1,2
F001712,"CALCO MARKETING, INC.",0,0,0.14,0,0.14
F001670,CANNA CONTINENTAL,43,30,50,37,160
F002509,Cape fear chemicals inc.,4,0,4,14,22
F001656,CENTRAL AQUATICS,1,1,1,0.02,3.02
F000013,CENTRAL FLORIDA FERN COOPERATIVE,477.97,508.83,468.98,303.33,"1,759.11"
F002063,Central Garden & Pet Garden Division,26.24,28.64,56.19,58.22,169.29
F002119,"Charlotte County Bio-Recycling Center, LLC","3,002.07","3,002.57","3,902.94","4,409.05","14,316.63"
F000910,CHEMICAL DYNAMICS,630.69,"3,866.70","3,859.41","2,033.02","10,389.82"
F002480,Chemport Inc.,0,0,0,0.25,0.25
F002071,City of Tallahassee,202.03,467.88,419.95,772.12,"1,861.98"
F001611,"CLARK PLANT NUTRIENTS, INC",2.51,0,2.28,0,4.79
F002861,Claudia C Soestmeyer,0,0,0.1,0.1,0.2
F002536,Clean Water Services,0,0,0.05,0.01,0.06
F001252,CNI AGRIMINERALS LLC,9.76,32.37,63.53,21.67,127.33
F001987,Coastal Fertilizer,30.24,28.11,27.53,29.28,115.16
F000950,"COASTAL PLAINS FARMERS CO-OP, INC.",30,50.7,38,114,232.7
F002030,"Coggins Farm Supply Georgia, LLC","1,799.41","1,706.92","2,619.47","6,202.70","12,328.50"
F002430,"Cold Spring Egg Farm, Inc*",262,0,0,113.93,375.93
F002373,Compass Minerals Ogden Inc.,"7,167.00","10,408.00",0,0,"17,575.00"
F002162,Compass Minerals USA Inc.,5.39,141.29,0.76,2.43,149.87
F002435,Compass Minerals Wynyard Inc.,434,382,288,210,"1,314.00"
F001985,"Complete Hydroponics, LLC",0.4,0.4,0.31,1.02,2.13
F002756,"Concept Agri-Tek, LLC",0,0.03,0,0.02,0.05
F000048,"CONKLIN COMPANY, INC.",0,0,0.06,0,0.06
F002193,Cool Planet Energy Systems,56.65,0,0,75.5,132.15
F001325,"CROWN TECHNOLOGY, INC.",35,22,71,47,175
F002251,Cultured Solutions,0,1,0,1,2
F002875,Custom Ag Formulators TX Inc,0,0,126.97,113.65,240.62
F001286,"CUSTOM AGRICULTURAL FORMULATORS, INC.",4.8,45.8,0,0,50.6
F001788,"CUSTOM AGRONOMICS, INC.",27.15,10,0,0,37.15
F001024,Darling Ingredients Inc.,"1,385.00","1,943.00","1,613.00",385,"5,326.00"
F000307,DAVEY TREE EXPERT COMPANY (THE),1,0,0,0,1
F002271,David Austin Roses,0.03,0.03,0.26,0.14,0.46
F002760,DCM USA LLC,1.98,0,0,0,1.98
F002713,"DFP Ag Services, LLC",0,8.58,44.76,26.07,79.41
F002051,"DIAMOND K GYPSUM, INC.",22.55,7.55,24,6.25,60.35
F000159,DIAMOND R FERTILIZER,"5,525.10","6,670.37","8,151.49","9,684.14","30,031.10"
F000609,"DIAMOND R FERTILIZER CO., INC.","17,490.22","28,491.11","39,578.04","26,350.60","111,909.97"
F001573,"DIAMOND R FERTILIZER CO., INC.",24.42,52.95,100.51,75.96,253.84
F000065,DOGGETT CORPORATION (THE),0,0,1,2,3
F001832,DR. EARTH,11,0,0,0,11
F001534,DRAMM CORPORATION,0,0,0,3,3
F001743,DREXEL CHEMICAL COMPANY,20,22,24,23,89
F000244,DYNA-GRO CORPORATION,2.16,1.84,4.96,6.54,15.5
F001399,EARTH WORKS,61,75,136,104,376
F002165,"Earthworm Castings Unlimited, LLC",4,0,0,0,4
F001262,"EASY GARDENER, INC.",24.96,43.57,110.95,62.41,241.89
F001910,"ECOLOGICAL LABORATORIES, INC.",2.37,0,0,67.37,69.74
F002000,Emerald Coast Utilities Authority,445.41,295.65,457.09,534,"1,732.15"
F002274,Emerald Harvest,164,175.5,282.87,32,654.37
F001430,"ENCAP, LLC",0,0,3.59,1.5,5.09
F001502,"ENP Investments, LLC",11,12,0,9,32
F002336,"Enviva Pellets Cottondale, LLC","1,036.87","2,038.13",0,0,"3,075.00"
F002728,"ERTH Products, LLC",16,0,45,111,172
F001003,ESCAMBIA GRAIN CORP.,73.72,153.84,166.29,212.64,606.49
F001381,"ESPOMA COMPANY, THE",27,0,186,80,293
F002374,Essential Green LLC,16,0,0,0,16
F002840,EUROCHEM NORTH AMERICA CORP.,0,0,0,22,22
F001877,"EVERRIS NA, INC.",603.72,405.41,591.85,481.2,"2,082.18"
F002348,Evonik Corporation,940,276,435,354,"2,005.00"
F001442,EXCELAG CORPORATION,5,24,5,11,45
F000061,FARMERS COOPERATIVE INC.,533.52,560.08,665.07,"2,208.18","3,966.85"
F000202,"FARMERS COOPERATIVE, INC. OF LIVE OAK","1,497.00",609,620,"4,077.00","6,803.00"
F002517,Farmers Gold Organic Plant Food Company,10.28,4.77,10.7,25,50.75
F002367,Ferti Technologies NC,0,0,17,77,94
F002376,Fertile Peat Products LLC,0,2,5.5,0.63,8.13
F002161,"Field 16, LLC.",1,1.7,2.7,3,8.4
F002636,Fish Sh!t,2,1,1,1,5
F000181,FLORALA FARMERS & BUILDERS CO-OP,337.93,528.82,896.43,"1,209.20","2,972.38"
F001008,"FLORATINE PRODUCTS GROUP, INC.",122,113,114,83,432
F000236,"FLORIDA FERTILIZER COMPANY, INC.","6,745.48","6,307.80","13,370.54","11,597.80","38,021.62"
F001886,FLORIDA ORGANIX,100,201.17,200,0,501.17
F001201,"FLORIDA PHOSPHORUS, INC.",18,18.6,12.9,2.86,52.36
F001062,"FLORIKAN E.S.A., LLC","2,954.00","3,223.00","2,587.00","2,201.00","10,965.00"
F001484,"FORESTRY RESOURCES, INC.",34.4,83.2,109.74,98.28,325.62
F001260,FoxFarm Soil & Fertilizer Company,296,224,476,609,"1,605.00"
F002686,FR LLC dba The Mulch and Soil Company,251.39,449.15,793.94,"1,549.22","3,043.70"
F002681,Front Row Ag LLC,0,0,5,0,5
F001521,"G. P. SOLUTIONS, LLC",0,0,0,3.62,3.62
